t,x1,y1,heading1,az1,el1,x2,y2,heading2,az2,el2,dist
52,1.0,0.0,1.8563956589394233,8.888888888888886,-83.33333333333333,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,-150.0,0.0,5.711278002911856
53,1.0,0.0,1.8563956589394233,8.888888888888886,-50.0,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,-150.0,40.0,5.711278002911856
54,1.0,0.0,1.8563956589394233,8.888888888888886,-16.666666666666657,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,-150.0,80.0,5.711278002911856
55,1.0,0.0,1.8563956589394233,8.888888888888886,16.666666666666686,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,-75.0,-80.0,5.711278002911856
56,1.0,0.0,1.8563956589394233,8.888888888888886,50.0,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,-75.0,-40.0,5.711278002911856
57,1.0,0.0,1.8563956589394233,8.888888888888886,83.33333333333334,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,-75.0,0.0,5.711278002911856
58,1.0,0.0,1.8563956589394233,8.888888888888886,116.66666666666669,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,-75.0,40.0,5.711278002911856
59,1.0,0.0,1.8563956589394233,8.888888888888886,150.0,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,-75.0,80.0,5.711278002911856
60,1.0,0.0,1.8563956589394233,26.66666666666667,-150.0,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,0.0,-80.0,5.711278002911856
61,1.0,0.0,1.8563956589394233,26.66666666666667,-116.66666666666666,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,0.0,-40.0,5.711278002911856
62,1.0,0.0,1.8563956589394233,26.66666666666667,-83.33333333333333,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,0.0,0.0,5.711278002911856
63,1.0,0.0,1.8563956589394233,26.66666666666667,-50.0,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,0.0,40.0,5.711278002911856
64,1.0,0.0,1.8563956589394233,26.66666666666667,-16.666666666666657,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,0.0,80.0,5.711278002911856
65,1.0,0.0,1.8563956589394233,26.66666666666667,16.666666666666686,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,75.0,-80.0,5.711278002911856
66,1.0,0.0,1.8563956589394233,26.66666666666667,50.0,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,75.0,-40.0,5.711278002911856
67,1.0,0.0,1.8563956589394233,26.66666666666667,83.33333333333334,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,75.0,0.0,5.711278002911856
68,1.0,0.0,1.8563956589394233,26.66666666666667,116.66666666666669,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,75.0,40.0,5.711278002911856
69,1.0,0.0,1.8563956589394233,26.66666666666667,150.0,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,75.0,80.0,5.711278002911856
70,1.0,0.0,1.8563956589394233,44.44444444444446,-150.0,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,150.0,-80.0,5.711278002911856
71,1.0,0.0,1.8563956589394233,44.44444444444446,-116.66666666666666,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,150.0,-40.0,5.711278002911856
72,1.0,0.0,1.8563956589394233,44.44444444444446,-83.33333333333333,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,150.0,0.0,5.711278002911856
73,1.0,0.0,1.8563956589394233,44.44444444444446,-50.0,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,150.0,40.0,5.711278002911856
74,1.0,0.0,1.8563956589394233,44.44444444444446,-16.666666666666657,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,150.0,80.0,5.711278002911856
75,1.0,0.0,1.8563956589394233,44.44444444444446,16.666666666666686,-4.566116260882441,-1.5714285714285716,2.2202207220928862,-150.0,-80.0,5.783687230890167
76,1.0,0.0,1.8563956589394233,44.44444444444446,50.0,-4.566116260882441,-1.5714285714285716,2.2202207220928862,-150.0,-40.0,5.783687230890167
77,1.0,0.0,1.8563956589394233,44.44444444444446,83.33333333333334,-4.566116260882441,-1.5714285714285716,2.2202207220928862,-150.0,0.0,5.783687230890167
78,1.0,0.0,1.8563956589394233,44.44444444444446,116.66666666666669,-4.566116260882441,-1.5714285714285716,2.2202207220928862,-150.0,40.0,5.783687230890167
79,1.0,0.0,1.8563956589394233,44.44444444444446,150.0,-4.566116260882441,-1.5714285714285716,2.2202207220928862,-150.0,80.0,5.783687230890167
80,1.0,0.0,1.8563956589394233,62.22222222222223,-150.0,-4.566116260882441,-1.5714285714285716,2.2202207220928862,-75.0,-80.0,5.783687230890167
81,1.0,0.0,1.8563956589394233,62.22222222222223,-116.66666666666666,-4.566116260882441,-1.5714285714285716,2.2202207220928862,-75.0,-40.0,5.783687230890167
82,1.0,0.0,1.8563956589394233,62.22222222222223,-83.33333333333333,-4.566116260882441,-1.5714285714285716,2.2202207220928862,-75.0,0.0,5.783687230890167
