t,x1,y1,heading1,az1,el1,x2,y2,heading2,az2,el2,dist
57,1.0,0.0,1.8563956589394233,8.888888888888886,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
58,1.0,0.0,1.8563956589394233,8.888888888888886,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
59,1.0,0.0,1.8563956589394233,8.888888888888886,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
60,1.0,0.0,1.8563956589394233,26.66666666666667,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
61,1.0,0.0,1.8563956589394233,26.66666666666667,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
62,1.0,0.0,1.8563956589394233,26.66666666666667,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
63,1.0,0.0,1.8563956589394233,26.66666666666667,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
64,1.0,0.0,1.8563956589394233,26.66666666666667,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
65,1.0,0.0,1.8563956589394233,26.66666666666667,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
66,1.0,0.0,1.8563956589394233,26.66666666666667,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
67,1.0,0.0,1.8563956589394233,26.66666666666667,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
68,1.0,0.0,1.8563956589394233,26.66666666666667,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
69,1.0,0.0,1.8563956589394233,26.66666666666667,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
70,1.0,0.0,1.8563956589394233,44.44444444444446,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
71,1.0,0.0,1.8563956589394233,44.44444444444446,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
72,1.0,0.0,1.8563956589394233,44.44444444444446,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
73,1.0,0.0,1.8563956589394233,44.44444444444446,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
74,1.0,0.0,1.8563956589394233,44.44444444444446,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
75,1.0,0.0,1.8563956589394233,44.44444444444446,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
76,1.0,0.0,1.8563956589394233,44.44444444444446,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
77,1.0,0.0,1.8563956589394233,44.44444444444446,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
78,1.0,0.0,1.8563956589394233,44.44444444444446,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
79,1.0,0.0,1.8563956589394233,44.44444444444446,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
80,1.0,0.0,1.8563956589394233,62.22222222222223,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
81,1.0,0.0,1.8563956589394233,62.22222222222223,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
82,1.0,0.0,1.8563956589394233,62.22222222222223,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
83,1.0,0.0,1.8563956589394233,62.22222222222223,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
84,1.0,0.0,1.8563956589394233,62.22222222222223,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
85,1.0,0.0,1.8563956589394233,62.22222222222223,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
86,1.0,0.0,1.8563956589394233,62.22222222222223,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
87,1.0,0.0,1.8563956589394233,62.22222222222223,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
88,1.0,0.0,1.8563956589394233,62.22222222222223,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
89,1.0,0.0,1.8563956589394233,62.22222222222223,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
90,1.0,0.0,1.8563956589394233,80.0,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
91,1.0,0.0,1.8563956589394233,80.0,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
92,1.0,0.0,1.8563956589394233,80.0,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
93,1.0,0.0,1.8563956589394233,80.0,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
94,1.0,0.0,1.8563956589394233,80.0,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
95,1.0,0.0,1.8563956589394233,80.0,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
96,1.0,0.0,1.8563956589394233,80.0,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
97,1.0,0.0,1.8563956589394233,80.0,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
98,1.0,0.0,1.8563956589394233,80.0,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
